,,PltRpt=1 Group=1 Tim_CTB(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
Plate,Well,Signal,,,,,,,,,,
8,A05,104606,,,,,,,,,,
8,A06,108142,,,,,,,,,,
8,A07,106192,,,,,,,,,,
8,A08,108448,,,,,,,,,,
8,A09,98763,,,,,,,,,,
8,A10,89329,,,,,,,,,,
8,A11,80501,,,,,,,,,,
8,A12,28180,,,,,,,,,,
8,B01,95390,,,,,,,,,,
8,B02,113920,,,,,,,,,,
8,B03,52813,,,,,,,,,,
8,B04,82939,,,,,,,,,,
8,B05,78806,,,,,,,,,,
8,B06,83359,,,,,,,,,,
8,B07,57417,,,,,,,,,,
8,B08,58722,,,,,,,,,,
8,B09,100011,,,,,,,,,,
8,B10,44890,,,,,,,,,,
8,B11,45168,,,,,,,,,,
8,B12,29065,,,,,,,,,,
8,C01,93059,,,,,,,,,,
8,C02,114467,,,,,,,,,,
8,C03,119618,,,,,,,,,,
8,C04,63561,,,,,,,,,,
8,C05,70787,,,,,,,,,,
8,C06,92413,,,,,,,,,,
8,C07,105843,,,,,,,,,,
8,C08,106275,,,,,,,,,,
8,C09,96943,,,,,,,,,,
8,C10,97512,,,,,,,,,,
8,C11,96731,,,,,,,,,,
8,C12,27989,,,,,,,,,,
